"model","BLEU","ROUGE-L","BERTScore"
"base","0.04005731291956591","0.2153100403455544","0.8636549115180969"
"unsloth_r8","0.04275336621642535","0.22372194126205236","0.8596742153167725"
"peft_r32","0.04135007358095653","0.2010112629756694","0.861952543258667"
